listing_id,has_availability,availability_30,availability_60,availability_90,availability_365
850518,TRUE,19,19,19,19
319759,TRUE,19,39,56,307
319887,TRUE,0,0,0,0
977906,TRUE,28,58,88,363
978089,FALSE,0,0,0,0
319894,TRUE,27,55,85,158
979637,TRUE,17,47,77,346
321069,TRUE,0,0,0,0
322834,TRUE,0,0,0,0
860402,TRUE,9,39,69,301
980785,FALSE,0,0,0,0
867806,TRUE,0,19,49,225
323733,TRUE,0,0,0,0
985426,TRUE,0,0,0,8
1731755,TRUE,0,0,0,0
870943,TRUE,24,54,84,85
996332,TRUE,7,7,7,87
878464,TRUE,0,0,0,0
1733137,TRUE,27,57,87,87
999823,TRUE,21,39,64,128
1736648,TRUE,0,0,0,0
879070,TRUE,27,57,87,177
1001303,TRUE,0,0,0,0
883802,TRUE,20,45,75,75
1737139,TRUE,21,47,77,191
1001673,TRUE,28,58,87,87
1024597,TRUE,0,0,0,0
1737270,TRUE,30,60,90,179
1746957,FALSE,0,0,0,0
883970,TRUE,11,30,60,286
1034604,TRUE,0,1,1,70
1751718,TRUE,30,60,90,227
1059128,TRUE,30,60,88,167
1755240,TRUE,21,51,72,307
1781521,FALSE,0,0,0,0
890163,TRUE,18,44,73,73
890680,TRUE,30,60,90,365
1109489,TRUE,30,60,90,365
893630,TRUE,0,11,40,106
894743,TRUE,1,31,61,336
1793471,TRUE,20,41,71,231
1126920,TRUE,21,51,79,325
1795965,TRUE,23,53,83,348
895352,TRUE,0,0,0,0
1135629,TRUE,9,22,22,259
895403,TRUE,8,31,61,61
1802053,TRUE,0,0,0,0
1141445,TRUE,28,47,47,243
1803353,TRUE,14,20,41,219
900420,FALSE,0,0,0,0
1143126,FALSE,0,0,0,0
904354,TRUE,25,50,75,342
1805494,TRUE,30,60,90,166
1144900,TRUE,17,17,17,82
1148536,TRUE,24,49,74,330
1814899,TRUE,0,0,0,0
910250,TRUE,30,60,90,320
1157268,TRUE,16,43,64,299
915150,TRUE,0,0,0,60
1822588,TRUE,17,31,46,107
1157317,TRUE,26,52,72,322
1162922,TRUE,28,49,73,321
1825193,TRUE,28,58,88,363
916900,FALSE,0,0,0,0
1165854,TRUE,14,30,30,30
917823,TRUE,0,0,0,0
1826078,FALSE,0,0,0,0
1827913,FALSE,0,0,0,0
1830545,TRUE,0,0,23,297
1831035,TRUE,0,0,3,11
1195493,TRUE,28,29,32,32
1836617,TRUE,19,39,66,319
1843753,TRUE,0,0,0,0
917932,TRUE,23,46,72,315
917990,TRUE,16,16,44,319
918204,TRUE,26,51,81,337
918617,FALSE,0,0,0,0
1197928,FALSE,0,0,0,0
1213690,TRUE,16,34,53,246
1850914,TRUE,14,44,66,323
1242559,TRUE,23,53,83,173
1854638,FALSE,0,0,0,0
923894,TRUE,0,0,0,0
925943,FALSE,0,0,0,0
1255816,TRUE,28,37,64,64
925980,FALSE,0,0,0,0
1854758,TRUE,0,0,0,0
1265154,TRUE,29,29,32,32
1860352,TRUE,0,19,49,275
929974,TRUE,14,14,14,236
1278532,TRUE,8,34,60,268
931667,FALSE,0,0,0,0
1865762,FALSE,0,0,0,0
1286773,TRUE,0,0,0,58
932231,TRUE,25,28,58,313
1296548,TRUE,30,60,90,359
933868,TRUE,25,55,85,360
1875121,TRUE,20,50,76,113
1880094,TRUE,3,19,20,25
1307181,TRUE,16,16,16,103
1317291,TRUE,0,0,0,0
1887570,TRUE,30,60,90,362
934471,TRUE,0,0,0,0
1321453,FALSE,0,0,0,0
1327668,TRUE,0,0,0,0
935855,TRUE,0,0,0,0
1892933,TRUE,20,50,78,341
1342654,TRUE,22,52,82,256
1900496,TRUE,24,54,84,359
1343707,TRUE,30,39,39,299
1901790,TRUE,9,39,45,45
936349,TRUE,28,58,88,363
1349780,TRUE,0,0,0,161
937157,TRUE,30,60,90,360
939240,TRUE,0,0,0,0
1906190,TRUE,0,0,0,0
1388265,TRUE,7,16,31,275
1913498,TRUE,29,56,86,316
1391406,TRUE,1,10,39,39
1919207,FALSE,0,0,0,0
942734,TRUE,30,60,90,365
942843,TRUE,24,54,84,358
1397983,TRUE,18,48,78,343
942883,TRUE,30,60,90,179
1927188,TRUE,30,60,90,365
1398635,TRUE,18,44,72,321
1928538,TRUE,0,0,0,0
1929377,TRUE,0,0,0,0
944957,TRUE,16,43,73,226
946813,FALSE,0,0,0,0
1401705,TRUE,13,13,13,13
